name,direction,number,email,rating,comments,open_hours,type,key_words
La Flauta,"Aribau, 23, Barcelona, Catalunya, 08011, ES",0,,0.0,,,"Seafood Restaurant, Tapas Restaurant",['Seafood Restaurant' 'Tapas Restaurant']
Cervecería Catalana,"Calle Mallorca, 236, Barcelona, Catalunya, 08008, ES",0,,0.0,,,Tapas Restaurant,['Tapas Restaurant']
Vinitus,"Carrer del Consell de Cent, 333, Barcelona, Catalunya, 08007, ES",0,,0.0,,,Tapas Restaurant,['Tapas Restaurant']
Porvenir,"Villarroel, 157, Barcelona, Catalunya, 08036, ES",0,,0.0,,,"Mediterranean Restaurant, Seafood Restaurant, Spanish Restaurant",['Mediterranean Restaurant' 'Seafood Restaurant' 'Spanish Restaurant']
Ciutat Comtal,"Rambla de Catalunya, 18, Barcelona, Catalunya, 08007, ES",0,,0.0,,,"Diner, Tapas Restaurant",['Diner' 'Tapas Restaurant']
Forn Mistral,"Ronda de Sant Antoni, 96, Barcelona, Catalunya, 08001, ES",0,,0.0,,,"Bakery, Restaurant",['Bakery' 'Restaurant']
Honest Greens Plaça Catalunya,"Rambla Catalunya, 3, Barcelona, Catalunya, 08007, ES",0,,0.0,,,Mediterranean Restaurant,['Mediterranean Restaurant']
Parking Pizza,"Calle Londres, 98, Barcelona, Catalunya, 08036, ES",0,,0.0,,,"Pizzeria, Italian Restaurant",['Pizzeria' 'Italian Restaurant']
Baluard,"Calle de Provença, 279, Barcelona, Catalunya, 08037, ES",0,,0.0,,,"Bakery, Restaurant",['Bakery' 'Restaurant']
Baluard,"Pau Claris, 188, Barcelona, Catalunya, 08037, ES",0,,0.0,,,"Bakery, Restaurant",['Bakery' 'Restaurant']
Ugot Bruncherie,"Calle Viladomat, 138, Barcelona, Catalunya, 08015, ES",0,,0.0,,,Breakfast Spot,['Breakfast Spot']
Zenith Brunch & Cocktails,"Gran Vía de Les Corts Catalanes, 633, Barcelona, Catalunya, 08007, ES",0,,0.0,,,Breakfast Spot,['Breakfast Spot']
El Asador de Aranda,"Calle Pau Claris, 70, Barcelona, Catalunya, 08010, ES",0,,0.0,,,"BBQ Joint, Seafood Restaurant, Spanish Restaurant",['BBQ Joint' 'Seafood Restaurant' 'Spanish Restaurant']
The Egg Lab,"Carrer de Sepúlveda, 80, Barcelona, Catalunya, 08015, ES",0,,0.0,,,Breakfast Spot,['Breakfast Spot']
La Caravana,"Carrer de Mozart, 17, Barcelona, Catalunya, 08012, ES",0,,0.0,,,"Falafel Restaurant, Syrian Restaurant",['Falafel Restaurant' 'Syrian Restaurant']
Cruix,"Carrer D'Entença, 57, Barcelona, Catalunya, 08015, ES",0,,0.0,,,Restaurant,['Restaurant']
Parking Pizza,"Passeig Sant Joan, 56, Barcelona, Catalunya, ES",0,,0.0,,,Pizzeria,['Pizzeria']
Casa Lolea Barcelona,"Carrer de Sant Pere Més Alt, 49, Barcelona, Catalunya, 08003, ES",0,,0.0,,,"Mediterranean Restaurant, Tapas Restaurant",['Mediterranean Restaurant' 'Tapas Restaurant']
Bar Cañete,"Unió, 17, Barcelona, Catalunya, 08001, ES",0,,0.0,,,"Bar, Tapas Restaurant",['Bar' 'Tapas Restaurant']
Maoz Vegetarian,"Carrer de Ferran, 13, Barcelona, Catalunya, 08002, ES",0,,0.0,,,"Falafel Restaurant, Middle Eastern Restaurant, Vegan and Vegetarian Restaurant","['Falafel Restaurant' 'Middle Eastern Restaurant'
 'Vegan and Vegetarian Restaurant']"
Quimet & Quimet,"Poeta Cabanyes, 25, Barcelona, Catalunya, 08004, ES",0,,0.0,,,Tapas Restaurant,['Tapas Restaurant']
El Xampanyet,"Carrer de Montcada, 22, Barcelona, Catalunya, 08003, ES",0,,0.0,,,"Wine Bar, Tapas Restaurant",['Wine Bar' 'Tapas Restaurant']
Cecconi's,"Passeig de Colom, 20, Barcelona, Catalunya, 08002, ES",0,,0.0,,,Italian Restaurant,['Italian Restaurant']
Menssana,"Carrer Sardenya, 48, Barcelona, Catalunya, 08005, ES",0,,0.0,,,"Burger Joint, Mediterranean Restaurant, Vegan and Vegetarian Restaurant","['Burger Joint' 'Mediterranean Restaurant'
 'Vegan and Vegetarian Restaurant']"
Comida de Olla,"Praga, 1, Barcelona, Catalunya, 08024, ES",0,,0.0,,,Restaurant,['Restaurant']
Forn Baluard,"Carrer del Baluart, 38, Barcelona, Catalunya, 08003, ES",0,,0.0,,,"Bakery, Deli",['Bakery' 'Deli']
Granja Elena,"Passeig de la Zona Franca, 228, Barcelona, Catalunya, 08038, ES",0,,0.0,,,"Catalan Restaurant, Mediterranean Restaurant, Spanish Restaurant",['Catalan Restaurant' 'Mediterranean Restaurant' 'Spanish Restaurant']
El Asador de Aranda,"Avenida Tibidabo, 31, Barcelona, Catalunya, 08022, ES",0,,0.0,,,"Seafood Restaurant, Spanish Restaurant, Steakhouse",['Seafood Restaurant' 'Spanish Restaurant' 'Steakhouse']
Can Dendê,"Ciutat de Granada, 44, Barcelona, Catalunya, 08005, ES",0,,0.0,,,Breakfast Spot,['Breakfast Spot']
La Tavernícola,"Carrer de Roc Boronat, 70, Barcelona, Catalunya, 08005, ES",0,,0.0,,,Argentinian Restaurant,['Argentinian Restaurant']
Little Fern,"Calle Pere IV, 168, Barcelona, Catalunya, 08005, ES",0,,0.0,,,Vegan and Vegetarian Restaurant,['Vegan and Vegetarian Restaurant']
El Asador de Aranda,"Londres, 94, Barcelona, Catalunya, 08014, ES",0,,0.0,,,Spanish Restaurant,['Spanish Restaurant']
